"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"52078";"40";"1";"1"
"52079";"45";"1";"4"
"52086";"46";"1";"4"
"52087";"147";"4";"4"
"52089";"11";"1";"4"
"52092";"176";"4";"4"
"52110";"46";"1";"1"
"52116";"154";"1";"1"
"52117";"46";"1";"1"
"52120";"31";"4";"4"
"52123";"46";"4";"4"
"52126";"89";"4";"4"
"52127";"46";"1";"1"
"52130";"46";"1";"1"
"52133";"25";"1";"1"
"52139";"46";"1";"1"
"52149";"22";"4";"4"
"52150";"46";"1";"1"
"52157";"46";"4";"4"
"52158";"86";"4";"4"
"52169";"92";"4";"4"
"52174";"45";"1";"1"
"52178";"46";"1";"1"
"52184";"42";"4";"4"
"52187";"64";"4";"4"
"52188";"3";"4";"4"
"52190";"425";"4";"4"
"52198";"45";"1";"1"
"52200";"26";"4";"4"
"52203";"43";"1";"1"
"52208";"45";"1";"1"
"52209";"43";"1";"1"
"52216";"41";"4";"4"
"52218";"45";"4";"4"
"52219";"120";"4";"4"
"52226";"39";"4";"4"
"52233";"45";"1";"1"
"52236";"929";"4";"4"
"52237";"26";"4";"4"
"52241";"102";"4";"4"
"52242";"36";"4";"4"
"52249";"75";"4";"4"
"52250";"45";"4";"4"
"52262";"45";"1";"4"
"52270";"7";"1";"4"
"52272";"34";"4";"4"
"52282";"45";"1";"1"
"52291";"86";"4";"4"
"52294";"34";"4";"4"
"52299";"43";"1";"1"
"52303";"1216";"4";"4"
"52309";"45";"4";"4"
"52311";"45";"1";"1"
"52326";"87";"4";"4"
"52328";"26";"4";"4"
"52331";"39";"4";"4"
"52336";"44";"1";"1"
"52346";"52";"4";"4"
"52350";"44";"4";"4"
"52352";"122";"4";"4"
"52355";"44";"4";"4"
"52368";"43";"4";"4"
"52374";"87";"4";"4"
"52377";"44";"1";"1"
"52381";"29";"4";"4"
"52388";"38";"1";"4"
"52390";"218";"4";"4"
"52393";"133";"4";"4"
"52396";"44";"1";"4"
"52398";"190";"4";"4"
"52399";"125";"1";"4"
"52403";"44";"1";"1"
"52406";"355";"4";"4"
"52408";"44";"1";"1"
"52410";"112";"4";"4"
"52420";"55";"4";"4"
"52424";"44";"1";"1"
"52432";"136";"4";"4"
"52438";"44";"1";"1"
"52444";"81";"1";"1"
"52447";"44";"1";"4"
"52448";"44";"1";"1"
"52453";"44";"4";"4"
"52457";"116";"4";"4"
"52459";"44";"4";"4"
"52460";"43";"1";"4"
"52462";"75";"4";"4"
"52465";"88";"1";"1"
"52468";"44";"4";"4"
"52474";"53";"4";"4"
"52477";"40";"4";"4"
"52478";"44";"4";"4"
"52491";"281";"4";"4"
"52495";"43";"4";"4"
"52499";"21";"4";"4"
"52503";"43";"4";"4"
"52506";"86";"4";"4"
"52507";"285";"4";"4"
"52514";"43";"4";"4"
"52516";"741";"4";"4"
"52523";"121";"1";"1"
"52527";"226";"4";"4"
"52541";"52";"4";"4"
"52547";"335";"4";"4"
"52562";"43";"4";"4"
"52564";"267";"4";"4"
"52565";"48";"4";"4"
"52574";"82";"4";"4"
"52583";"129";"4";"4"
"52593";"85";"4";"4"
"52594";"86";"4";"4"
"52599";"1880";"4";"4"
"52607";"152";"4";"4"
"52609";"43";"4";"4"
"52612";"71";"4";"4"
"52614";"43";"4";"4"
"52616";"281";"4";"4"
"52620";"43";"1";"4"
"52624";"129";"4";"4"
"52629";"38";"1";"4"
"52638";"30";"4";"4"
"52642";"43";"1";"1"
"52647";"43";"1";"1"
"52649";"43";"1";"1"
"52652";"86";"1";"1"
"52658";"395";"4";"4"
"52659";"320";"4";"4"
"52660";"43";"1";"1"
"52669";"42";"1";"1"
"52671";"251";"4";"4"
"52672";"80";"1";"4"
"52680";"37";"4";"4"
"52690";"42";"1";"1"
"52694";"42";"4";"4"
"52695";"128";"4";"4"
"52697";"42";"4";"4"
"52701";"35";"4";"4"
"52703";"183";"4";"4"
"52716";"42";"4";"4"
"52719";"109";"4";"4"
"52721";"42";"1";"1"
"52722";"20";"4";"4"
"52727";"42";"4";"4"
