"id_user_source";"reciprocityCount";"profile_1";"profile_2"
"29825";"54";"1";"4"
"29826";"107";"1";"1"
"29830";"54";"1";"1"
"29853";"53";"4";"4"
"29862";"8";"1";"4"
"29864";"136";"4";"4"
"29866";"53";"4";"4"
"29876";"92";"4";"4"
"29879";"52";"4";"4"
"29887";"50";"1";"1"
"29890";"92";"1";"4"
"29893";"159";"4";"4"
"29895";"106";"1";"1"
"29896";"106";"1";"4"
"29898";"91";"4";"4"
"29900";"53";"1";"1"
"29903";"111";"4";"4"
"29910";"58";"4";"4"
"29912";"53";"4";"4"
"29913";"870";"4";"4"
"29915";"47";"4";"4"
"29919";"1070";"4";"4"
"29921";"197";"4";"4"
"29923";"35";"1";"1"
"29930";"53";"4";"4"
"29932";"104";"4";"4"
"29943";"53";"1";"1"
"29963";"5";"1";"4"
"29970";"37";"4";"4"
"29971";"94";"4";"4"
"29972";"112";"4";"4"
"29973";"106";"1";"1"
"29979";"56";"4";"4"
"29980";"53";"1";"4"
"29982";"53";"1";"4"
"29985";"53";"1";"4"
"29987";"157";"4";"4"
"29989";"61";"4";"4"
"29998";"41";"1";"1"
"30011";"155";"4";"4"
"30015";"52";"1";"1"
"30019";"97";"1";"4"
"30025";"33";"1";"4"
"30032";"45";"1";"4"
"30034";"52";"1";"4"
"30038";"23";"1";"1"
"30043";"153";"4";"4"
"30047";"47";"4";"4"
"30066";"184";"4";"4"
"30070";"103";"1";"1"
"30078";"52";"4";"4"
"30079";"25";"1";"1"
"30084";"154";"4";"4"
"30091";"18";"4";"4"
"30094";"47";"1";"1"
"30097";"104";"4";"4"
"30098";"202";"4";"4"
"30102";"4";"4";"4"
"30106";"52";"4";"4"
"30110";"49";"4";"4"
"30118";"52";"4";"4"
"30126";"16";"4";"4"
"30133";"47";"1";"1"
"30138";"184";"4";"4"
"30147";"136";"4";"4"
"30152";"50";"4";"4"
"30157";"401";"4";"4"
"30158";"140";"4";"4"
"30160";"7215";"4";"4"
"30166";"141";"4";"4"
"30167";"51";"1";"1"
"30182";"95";"4";"4"
"30192";"106";"4";"4"
"30194";"152";"4";"4"
"30201";"97";"4";"4"
"30202";"150";"4";"4"
"30203";"51";"1";"1"
"30219";"51";"1";"1"
"30221";"3";"4";"4"
"30228";"51";"1";"4"
"30232";"51";"1";"4"
"30239";"51";"1";"1"
"30241";"51";"1";"1"
"30245";"50";"1";"4"
"30251";"100";"1";"1"
"30252";"50";"1";"1"
"30253";"200";"4";"4"
"30254";"50";"1";"1"
"30255";"150";"4";"4"
"30256";"50";"1";"1"
"30258";"145";"4";"4"
"30259";"52";"4";"4"
"30267";"100";"4";"4"
"30276";"50";"4";"4"
"30282";"50";"1";"1"
"30283";"50";"1";"4"
"30286";"5";"1";"1"
"30292";"167";"4";"4"
"30300";"3";"4";"4"
"30305";"50";"1";"1"
"30311";"139";"4";"4"
"30317";"102";"4";"4"
"30318";"195";"4";"4"
"30321";"97";"1";"4"
"30330";"50";"1";"1"
"30331";"42";"4";"4"
"30332";"1360";"4";"4"
"30337";"149";"1";"4"
"30342";"50";"1";"4"
"30348";"44";"4";"4"
"30354";"150";"4";"4"
"30355";"50";"1";"1"
"30357";"108";"4";"4"
"30363";"98";"4";"4"
"30369";"50";"1";"1"
"30370";"99";"1";"4"
"30383";"50";"4";"4"
"30384";"2741";"4";"4"
"30386";"50";"1";"1"
"30392";"2532";"4";"4"
"30393";"49";"1";"4"
"30395";"48";"4";"4"
"30399";"367";"4";"4"
"30400";"7528";"4";"4"
"30409";"32";"4";"4"
"30411";"99";"1";"4"
"30418";"382";"4";"4"
"30421";"43";"4";"4"
"30423";"36";"1";"4"
"30449";"49";"1";"4"
"30451";"1248";"4";"4"
"30457";"49";"1";"4"
"30463";"49";"1";"1"
"30464";"49";"4";"4"
"30466";"49";"1";"1"
"30467";"3";"1";"4"
"30468";"49";"1";"4"
"30473";"49";"4";"4"
"30499";"34";"1";"4"
"30507";"98";"4";"4"
"30508";"245";"1";"1"
"30509";"667";"4";"4"
"30510";"49";"1";"4"
"30524";"76";"4";"4"
"30527";"148";"4";"4"
"30531";"68";"4";"4"
"30534";"49";"1";"4"
"30536";"66";"4";"4"
"30539";"49";"1";"1"
"30543";"19";"1";"1"
"30545";"44";"4";"4"
"30548";"579";"4";"4"
"30549";"147";"4";"4"
"30560";"145";"4";"4"
"30580";"39";"4";"4"
"30584";"94";"4";"4"
"30592";"48";"1";"1"
"30594";"54";"4";"4"
"30598";"79";"4";"4"
"30599";"160";"4";"4"
"30602";"48";"1";"1"
"30603";"48";"1";"1"
"30604";"305";"4";"4"
"30610";"142";"1";"1"
"30617";"48";"4";"4"
"30625";"203";"4";"4"
"30626";"48";"1";"1"
"30635";"50";"1";"1"
"30636";"41";"1";"4"
"30639";"96";"1";"4"
"30640";"48";"1";"1"
"30641";"41";"4";"4"
"30642";"41";"1";"1"
"30647";"1527";"4";"4"
"30656";"96";"4";"4"
"30659";"84";"4";"4"
"30660";"1283";"4";"4"
"30661";"48";"1";"4"
"30669";"48";"1";"1"
"30672";"94";"4";"4"
"30674";"45";"1";"4"
"30675";"48";"1";"1"
"30683";"48";"4";"4"
"30685";"48";"1";"4"
"30687";"48";"1";"4"
"30692";"94";"4";"4"
"30693";"84";"1";"1"
"30695";"86";"4";"4"
"30699";"48";"1";"1"
"30700";"42";"1";"4"
"30702";"33";"4";"4"
"30703";"132";"1";"1"
"30713";"107";"4";"4"
"30714";"48";"4";"4"
"30715";"3";"4";"4"
"30725";"48";"1";"4"
"30729";"139";"4";"4"
"30730";"36";"4";"4"
"30744";"48";"1";"1"
"30749";"13";"1";"1"
"30753";"32";"4";"4"
"30758";"48";"1";"1"
"30767";"1880";"4";"4"
"30769";"48";"4";"4"
"30771";"94";"1";"4"
"30772";"7091";"4";"4"
"30773";"1073";"4";"4"
"30777";"109";"1";"1"
"30779";"141";"4";"4"
"30790";"47";"1";"4"
"30792";"43";"4";"4"
"30794";"47";"1";"4"
"30795";"65";"4";"4"
"30796";"90";"4";"4"
"30798";"175";"4";"4"
"30805";"47";"4";"4"
"30810";"93";"1";"1"
"30812";"47";"1";"1"
"30815";"47";"1";"1"
"30821";"47";"1";"1"
"30823";"324";"4";"4"
"30825";"47";"1";"4"
"30829";"94";"1";"1"
"30831";"188";"4";"4"
"30834";"38";"1";"1"
"30835";"138";"4";"4"
"30850";"139";"4";"4"
"30853";"72";"4";"4"
"30856";"46";"4";"4"
"30865";"589";"4";"4"
"30874";"141";"4";"4"
"30882";"50";"4";"4"
"30883";"47";"1";"1"
"30889";"47";"4";"4"
"30890";"382";"4";"4"
"30895";"47";"1";"1"
"30896";"129";"4";"4"
"30910";"40";"1";"4"
"30915";"46";"1";"1"
"30939";"66";"4";"4"
"30945";"46";"4";"4"
"30946";"83";"4";"4"
"30955";"46";"1";"1"
"30959";"46";"1";"4"
"30961";"138";"4";"4"
"30962";"46";"1";"4"
"30980";"46";"1";"4"
"30987";"46";"1";"1"
"30988";"46";"4";"4"
"30989";"46";"1";"4"
"30994";"46";"1";"4"
"31001";"46";"1";"4"
"31014";"36";"4";"4"
"31017";"2";"4";"4"
"31018";"92";"1";"1"
"31020";"46";"1";"1"
"31022";"46";"4";"4"
"31023";"46";"1";"4"
"31026";"295";"4";"4"
"31028";"80";"4";"4"
