"period";"profile_1";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"47";"4";"21,8291";"12,7732";"9,0559";"21762,024483598107";"0,00027044660756959596";"0,02570877434606807";"43,7953"
"48";"1";"3,3643";"0,8279";"2,5364";"348,4254383128672";"0,00004141015642922768";"0,0024892595461292843";"4,4772"
"48";"4";"22,2705";"13,0713";"9,1992";"23317,519257328662";"0,00026377844058555534";"0,025635835028288707";"44,6858"
"49";"1";"3,3969";"0,8305";"2,5663";"358,97899085243597";"0,00003982832788948798";"0,0023720252443817785";"4,5427"
"49";"4";"22,7871";"13,4230";"9,3641";"24446,968510067392";"0,0002599400925568223";"0,025127013918194965";"45,8324"
"50";"1";"3,4320";"0,8399";"2,5921";"372,9265855846869";"0,00003846730737654792";"0,0023361074808965795";"4,6128"
"50";"4";"23,1544";"13,6717";"9,4827";"25681,19188410882";"0,00025336240487599284";"0,024876360358904937";"46,5642"
"51";"1";"3,4485";"0,8483";"2,6002";"410,6850146232332";"0,00003740938955989945";"0,002317244392125056";"4,6520"
"51";"4";"23,4062";"13,8497";"9,5565";"27124,614610126147";"0,00024746769381469723";"0,02471658761507459";"47,0738"
"52";"1";"3,4549";"0,8502";"2,6048";"425,9114489840329";"0,00003578551434631659";"0,002250896878880589";"4,6585"
"52";"4";"23,7807";"14,0921";"9,6887";"28506,122016682435";"0,00023816139550043665";"0,02473240899075927";"47,6621"
"53";"1";"3,4788";"0,8602";"2,6186";"454,7361504585851";"0,00003494330797076831";"0,0022261876148049592";"4,6985"
"53";"4";"24,1655";"14,3260";"9,8395";"29950,107049988397";"0,00023393762469600796";"0,024672165846122605";"48,3703"
"54";"1";"3,5087";"0,8658";"2,6428";"467,4504217032478";"0,00003357614574902234";"0,0021764863377222517";"4,7558"
"54";"4";"24,6665";"14,6682";"9,9983";"31542,372927452594";"0,0002298615428179527";"0,024587477597983843";"49,4197"
"55";"1";"3,5375";"0,8706";"2,6669";"490,78073312007206";"0,000032553459096525185";"0,0021624739349028837";"4,8193"
"55";"4";"25,1566";"15,0065";"10,1501";"33250,23879288215";"0,00022571093229470867";"0,024448752245924483";"50,5836"
"56";"1";"3,5371";"0,8738";"2,6633";"531,0933778639885";"0,0000316509735810713";"0,0021682283142168686";"4,8168"
"56";"4";"25,6190";"15,3060";"10,3129";"35142,65799402474";"0,00022242430865105977";"0,024772905726606793";"51,6000"
