"period";"modularity_class";"avgIndegree";"avgOutdegree";"avgDegree";"avgBetweenness";"avgPageRank";"avgEigenvector"
"14";"7";"6,3036";"5,7857";"12,0893";"932,3029472735869";"0,0014996749843081013";"0,06561057469824742"
"14";"8";"3,6761";"4,0845";"7,7606";"458,2248861230101";"0,0010238568621411756";"0,03097628376076172"
"14";"9";"5,9310";"5,2414";"11,1724";"965,1763248315452";"0,001524885876170217";"0,06935712511347135"
"15";"0";"4,3729";"4,6271";"9,0000";"552,2352208754244";"0,0009915273813630274";"0,035657113923969766"
"15";"1";"4,2941";"4,9608";"9,2549";"632,41576741108";"0,0010752087141687372";"0,0454368175293501"
"15";"2";"3,9851";"4,4627";"8,4478";"533,9350192855386";"0,0009788986851681984";"0,039170272676035435"
"15";"3";"6,2821";"5,7949";"12,0769";"1241,6945015640183";"0,0012759297780448149";"0,06300015027507841"
"15";"4";"4,6220";"5,8780";"10,5000";"577,0374760870151";"0,0010540880238799717";"0,046792607086516176"
"15";"5";"2,3571";"2,8571";"5,2143";"245,564803437514";"0,000855936143914356";"0,02479489549666691"
"15";"6";"4,6667";"4,5500";"9,2167";"713,5723170402426";"0,001101018743118383";"0,0360915511591567"
"15";"7";"6,5870";"4,4130";"11,0000";"808,2037180436939";"0,0017061637978737373";"0,0662401868125016"
"15";"8";"5,8947";"5,2895";"11,1842";"588,944767031675";"0,0012602918865714779";"0,05763466416419692"
"15";"9";"6,3882";"6,1647";"12,5529";"1007,1431028651737";"0,0013177907810724698";"0,060842164299653265"
"15";"10";"5,6905";"5,4167";"11,1071";"837,7908422241519";"0,0012955079562835235";"0,050312077072728924"
"16";"0";"4,6136";"4,6136";"9,2273";"636,6977914308779";"0,0009501077717338157";"0,0426611360741887"
"16";"1";"6,4576";"5,5593";"12,0169";"1182,3154989297625";"0,0012256961866213948";"0,05899135480080528"
"16";"2";"4,5725";"4,7023";"9,2748";"726,832429220477";"0,0009697345177620591";"0,0355023091801922"
"16";"3";"5,1522";"5,2609";"10,4130";"726,0451135832919";"0,0010451853711704112";"0,04949917961971213"
"16";"4";"3,6071";"4,0357";"7,6429";"423,6010573809364";"0,000723991994556537";"0,024913087671827334"
"16";"5";"5,4490";"6,5000";"11,9490";"846,1396717844476";"0,001114616077514634";"0,05267873514805794"
"16";"6";"5,3421";"4,9737";"10,3158";"1144,4753255708783";"0,0010069129891556745";"0,04514379339395274"
"16";"7";"6,2444";"6,1333";"12,3778";"1075,8597717520329";"0,0012749414155424548";"0,06436278376544616"
"16";"8";"4,5375";"4,6500";"9,1875";"526,5894623291421";"0,0009307170020678038";"0,03829159698320347"
"16";"9";"1,0000";"1,0000";"2,0000";"0";"0,00027670550202807414";"0,000573403674703263"
"16";"10";"5,1549";"4,1831";"9,3380";"649,0203243693202";"0,0012286855408526764";"0,04762612023999797"
"17";"0";"4,2308";"4,8077";"9,0385";"581,3598310074046";"0,0008130555039272214";"0,030478063870086333"
"17";"1";"6,1758";"6,0330";"12,2088";"992,8715883527638";"0,0011026704810447644";"0,05619575304328889"
"17";"2";"5,5882";"4,5686";"10,1569";"865,6883709857983";"0,0012119933848655567";"0,04663619026699301"
"17";"3";"5,6071";"4,5536";"10,1607";"713,8065332368363";"0,0010534613350098184";"0,04582560673005757"
"17";"4";"5,7757";"5,7664";"11,5421";"923,107982114446";"0,0010976145015009432";"0,05591547852926368"
"17";"5";"5,8267";"5,5067";"11,3333";"1126,3142038103329";"0,0010877636771249217";"0,05037984054956489"
"17";"6";"1,0000";"1,0000";"2,0000";"0";"0,0002588317486800363";"0,0005534667565131013"
"17";"7";"4,3832";"4,8623";"9,2455";"835,5941189862525";"0,0008552771565867478";"0,03390207913971051"
"17";"8";"4,7500";"5,0294";"9,7794";"672,4852540836921";"0,000899455626120038";"0,04205062432614049"
"17";"9";"4,9130";"5,2029";"10,1159";"953,9328542834652";"0,0010036965984618316";"0,048331783100982316"
"18";"0";"6,1184";"5,7237";"11,8421";"1159,2072867772633";"0,0010900208042846538";"0,05223994846222045"
"18";"1";"3,9308";"4,5786";"8,5094";"767,6061030307087";"0,0007778687907524683";"0,030618741196940528"
"18";"2";"1,0000";"1,0000";"2,0000";"0";"0,00024449238095514375";"0,0005371224767774935"
"18";"3";"0,6667";"0,6667";"1,3333";"0";"0,0003138556284257589";"0,0003132432923094735"
"18";"4";"4,8293";"4,2683";"9,0976";"747,5039763893822";"0,0009256548869098769";"0,03487030841698207"
"18";"5";"3,9474";"4,1053";"8,0526";"611,0830047365371";"0,000738468025968487";"0,029380612923710508"
"18";"6";"5,4884";"5,4767";"10,9651";"1116,942650238916";"0,0009437989358193361";"0,045247043744917316"
"18";"7";"6,5172";"6,9483";"13,4655";"1059,6038363431746";"0,0010948937887575413";"0,055387105623613785"
"18";"8";"5,5478";"5,8089";"11,3567";"1021,5032662945958";"0,0009859983620395796";"0,05130180795514822"
