"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community";"profile_1";"profile_2"
"235242";"0";"0,2767183508584328";"7";"0,28784272833220753";"0,00002191810650893231";"0";"1";"1";"0";"5";"0";"3812";"0";"1";"72";"44949";"9";"1";"1"
"235244";"0";"0,3079058699101005";"6";"0,3248783454987766";"0,00002191810650893231";"0";"6";"6";"0";"21";"0,20000000298023224";"3813";"0";"7";"72";"44952";"9";"1";"4"
"235246";"0";"0,2795750555188764";"7";"0,2926051442474793";"0,00002191810650893231";"0";"2";"2";"0";"21";"1";"3814";"0";"2";"72";"44953";"9";"1";"4"
"235251";"2,6731452455590383";"0,24863854778430325";"7";"0,25744859249261803";"0,000029389516622531917";"1";"1";"2";"0,0007070463972981553";"21";"0";"1057";"0";"2";"72";"44962";"9";"1";"1"
"235255";"13,873150394905352";"0,26693798005273417";"7";"0,27759593852572306";"0,00004529721743713607";"1";"3";"4";"0,0027167451055112534";"5";"0,3333333432674408";"1057";"0";"4";"72";"44969";"9";"1";"4"
"235258";"0";"0,26106938684004033";"7";"0,2719765278374149";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3815";"0";"1";"72";"44971";"9";"1";"1"
"235261";"0";"0,3017034782045469";"7";"0,31703367478377636";"0,00002191810650893231";"0";"1";"1";"0";"5";"0";"3817";"0";"1";"72";"44975";"9";"1";"1"
"235263";"0";"0";"0";"0";"0,000023988210033191327";"1";"0";"1";"0,00021615333013942775";"21";"0";"2980";"0";"1";"72";"44976";"9";"1";"1"
"235264";"0";"0,2874598864477907";"7";"0,30080608885889837";"0,00002191810650893231";"1";"4";"5";"0,00021615333013942775";"21";"0,4166666567325592";"3820";"0";"5";"72";"44977";"9";"1";"1"
"235266";"14359,18104344009";"0,3258922323303009";"6";"0,34538687280794916";"0,00021414727798461423";"16";"20";"36";"0,025755810683318545";"5";"0,1487395018339157";"1057";"0";"188";"72";"44978";"9";"1";"1"
"235271";"0";"0,28881448412698413";"6";"0,30288750536710807";"0,00002191810650893231";"0";"2";"2";"0";"5";"0,5";"3822";"0";"2";"72";"44985";"9";"1";"1"
"235277";"0";"0";"0";"0";"0,0000265758394385151";"1";"0";"1";"0,00020829388178672802";"21";"0";"3316";"0";"1";"72";"44994";"9";"1";"1"
"235280";"0";"0,2794911796471859";"7";"0,29113813408574996";"0,00002191810650893231";"1";"5";"6";"0,00021615333013942775";"21";"0,4000000059604645";"3824";"0";"6";"72";"44996";"9";"1";"1"
"235293";"0";"0,26792800046006093";"7";"0,27856682917854975";"0,00002191810650893231";"0";"2";"2";"0";"21";"0";"3829";"0";"2";"72";"45010";"9";"1";"1"
"235296";"0";"0,3017034782045469";"7";"0,31703367478377636";"0,00002191810650893231";"0";"1";"1";"0";"5";"0";"3830";"0";"1";"72";"45017";"9";"1";"1"
"235298";"0";"0";"0";"0";"0,00003326925418888374";"1";"0";"1";"0,00034615177121472777";"21";"0";"992";"0";"1";"72";"45018";"9";"1";"1"
"235305";"0";"0";"0";"0";"0,00002907374606138731";"1";"0";"1";"0,00043778782979634755";"31";"0";"799";"0";"1";"72";"45026";"9";"1";"1"
"235310";"7,274162475942137";"0,24865182337551392";"7";"0,2574593290182783";"0,00002392407775620744";"1";"1";"2";"0,0002342507693673285";"26";"0";"1057";"0";"2";"72";"45032";"9";"1";"1"
"235312";"0";"0,26773600091985744";"7";"0,2783454502694372";"0,00004743377134621237";"2";"1";"3";"0,003878438531317034";"21";"0,3333333432674408";"1057";"0";"4";"72";"45036";"9";"4";"4"
"235315";"0";"0,2402269210933471";"7";"0,24815882557403118";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3838";"0";"1";"72";"45041";"9";"1";"4"
"235317";"322,9387906409822";"0,28823420189391596";"6";"0,30219740891847174";"0,00005877686124173431";"6";"2";"8";"0,001996103628071218";"5";"0,2380952388048172";"1057";"0";"8";"72";"45042";"9";"4";"4"
"235323";"0";"0";"0";"0";"0,0000332305951390574";"1";"0";"1";"0,0004009700914924846";"26";"0";"85";"0";"1";"72";"45048";"9";"1";"1"
"235324";"0";"0,303735575982789";"7";"0,31937673116036935";"0,00002191810650893231";"0";"4";"4";"0";"21";"0";"3843";"0";"5";"72";"45051";"9";"1";"1"
"235327";"88800,13824055469";"0,3218605294076992";"6";"0,34136067568533923";"0,000498555444209035";"44";"15";"59";"0,027866247118907964";"21";"0,05152394622564316";"1057";"0";"93";"72";"45053";"9";"4";"4"
"235329";"4,67336362807103";"0,24865182337551392";"7";"0,2574593290182783";"0,000025110340525710272";"1";"1";"2";"0,00026838341985269517";"26";"0";"1057";"0";"2";"72";"45056";"9";"1";"1"
"235331";"0";"0";"0";"0";"0,0000265758394385151";"1";"0";"1";"0,00020829388178672802";"21";"0";"3842";"0";"1";"72";"45058";"9";"1";"1"
"235333";"0";"0";"0";"0";"0,00002564429285259854";"1";"0";"1";"0,00021615333013942775";"21";"0";"3845";"0";"1";"72";"45061";"9";"1";"1"
"235339";"0";"0,24763423710792132";"7";"0,25640270706823315";"0,00002191810650893231";"0";"2";"2";"0";"21";"0";"3850";"0";"2";"72";"45069";"9";"1";"1"
"235343";"0";"0,2785052316890882";"7";"0,2907051871843623";"0,00002191810650893231";"1";"3";"4";"0,00021615333013942775";"21";"0,3333333432674408";"3852";"0";"5";"72";"45074";"9";"1";"1"
"235345";"0";"0";"0";"0";"0,00003562989771118067";"2";"0";"2";"0,0030078043037388915";"21";"0";"348";"0";"2";"72";"45075";"9";"1";"4"
"235346";"0";"0";"0";"0";"0,000027002077646550014";"1";"0";"1";"0,0005351765135681627";"3";"0";"479";"0";"1";"72";"45076";"9";"1";"4"
"235350";"4682,053138220089";"0,2192103157795661";"8";"0,2251487456296471";"0,00007115699747880751";"6";"2";"8";"0,001304924203158251";"21";"0,1666666716337204";"1217";"0";"8";"72";"45081";"9";"1";"1"
"235358";"6,032752859131993";"0,24863883847549909";"7";"0,25744699339590427";"0,00002457966818297962";"1";"1";"2";"0,00021615333013942775";"26";"0";"3187";"0";"2";"72";"45095";"9";"1";"1"
"235360";"5205,276952270308";"0,30483733717352884";"6";"0,3212261112303993";"0,00020781701759620217";"13";"7";"20";"0,02453923070866557";"5";"0,15808823704719543";"1057";"0";"34";"72";"45097";"9";"4";"4"
"235362";"46244,80684772279";"0,2963410754056634";"6";"0,3118745973802841";"0,00023998550880842135";"25";"13";"38";"0,027333063063842974";"34";"0,06218487396836281";"1057";"0";"45";"72";"45099";"9";"4";"4"
"235364";"0";"0,17982862436313107";"9";"0,18316383718830448";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3858";"0";"1";"72";"45100";"9";"1";"1"
"235374";"0";"0,2808392620282166";"7";"0,2935211310801679";"0,00002191810650893231";"0";"2";"2";"0";"21";"0,5";"3861";"0";"2";"72";"45110";"9";"1";"1"
"235375";"0";"0,3060647874367567";"6";"0,32274223558035714";"0,00002191810650893231";"1";"6";"7";"0,00021615333013942775";"5";"0,30000001192092896";"3862";"0";"10";"72";"45112";"9";"1";"4"
"235381";"769,5842619210794";"0,2972869454197255";"7";"0,3118234710676145";"0,00007612503515718469";"2";"5";"7";"0,00541142718499141";"21";"0,4000000059604645";"1057";"0";"18";"72";"45118";"9";"1";"1"
"235383";"0";"0,22702465646623135";"7";"0,23385153159783656";"0,00002191810650893231";"0";"2";"2";"0";"34";"0";"3864";"0";"2";"72";"45121";"9";"1";"1"
"235385";"0";"0,29102612173478315";"7";"0,3041969590069194";"0,000057778609990240734";"1";"3";"4";"0,009200450065632653";"21";"0,5";"1057";"0";"5";"72";"45128";"9";"4";"4"
"235388";"0";"0,2677627040699011";"7";"0,2783930360465369";"0,00002191810650893231";"0";"1";"1";"0";"21";"0";"3865";"0";"1";"72";"45135";"9";"1";"1"
"235389";"0";"0";"0";"0";"0,000033947443809170626";"1";"0";"1";"0,0003065301465778642";"3";"0";"911";"0";"1";"72";"45137";"9";"1";"1"
"235395";"0";"0,2643854273067756";"7";"0,2745311174480539";"0,00002191810650893231";"1";"4";"5";"0,00021615333013942775";"21";"0,25";"3866";"0";"5";"72";"45145";"9";"1";"1"
"235398";"0";"0,32175414364640886";"6";"0,3394183301137488";"0,00002191810650893231";"1";"9";"10";"0,00021615333013942775";"21";"0,3611111044883728";"3870";"0";"12";"72";"45147";"9";"1";"1"
"235400";"0";"0";"0";"0";"0,00004054903822726347";"3";"0";"3";"0,000632741093712884";"21";"0";"3656";"0";"3";"72";"45148";"9";"1";"1"
