"period";"profileUserSource";"profileUserDest";"total"
"50";"1";"4";"4830"
"50";"4";"1";"1460"
"50";"4";"4";"17167"
"51";"1";"1";"858"
"51";"1";"4";"5046"
"51";"4";"1";"1520"
"51";"4";"4";"17685"
"52";"1";"1";"900"
"52";"1";"4";"5334"
"52";"4";"1";"1605"
"52";"4";"4";"18102"
"53";"1";"1";"965"
"53";"1";"4";"5643"
"53";"4";"1";"1687"
"53";"4";"4";"18691"
"54";"1";"1";"1013"
"54";"1";"4";"5855"
"54";"4";"1";"1738"
"54";"4";"4";"19135"
"55";"1";"1";"1053"
"55";"1";"4";"6064"
"55";"4";"1";"1792"
"55";"4";"4";"19613"
"56";"1";"1";"1101"
"56";"1";"4";"6307"
"56";"4";"1";"1869"
"56";"4";"4";"20120"
"57";"1";"1";"1154"
"57";"1";"4";"6585"
"57";"4";"1";"1942"
"57";"4";"4";"20616"
"58";"1";"1";"1198"
"58";"1";"4";"6804"
"58";"4";"1";"2020"
"58";"4";"4";"21112"
"59";"1";"1";"1249"
"59";"1";"4";"7066"
"59";"4";"1";"2093"
"59";"4";"4";"21488"
"60";"1";"1";"1305"
"60";"1";"4";"7316"
"60";"4";"1";"2153"
"60";"4";"4";"21949"
"61";"1";"1";"1375"
"61";"1";"4";"7589"
"61";"4";"1";"2221"
"61";"4";"4";"22276"
"62";"1";"1";"1452"
"62";"1";"4";"7891"
"62";"4";"1";"2306"
"62";"4";"4";"22778"
"63";"1";"1";"1513"
"63";"1";"4";"8176"
"63";"4";"1";"2384"
"63";"4";"4";"23240"
"64";"1";"1";"1574"
"64";"1";"4";"8446"
"64";"4";"1";"2465"
"64";"4";"4";"23679"
"65";"1";"1";"1629"
"65";"1";"4";"8704"
"65";"4";"1";"2521"
"65";"4";"4";"24132"
"66";"1";"1";"1690"
"66";"1";"4";"8984"
"66";"4";"1";"2578"
"66";"4";"4";"24505"
"67";"1";"1";"1763"
"67";"1";"4";"9252"
"67";"4";"1";"2655"
"67";"4";"4";"25009"
"68";"1";"1";"1844"
"68";"1";"4";"9611"
"68";"4";"1";"2747"
"68";"4";"4";"25517"
"69";"1";"1";"1916"
"69";"1";"4";"9946"
"69";"4";"1";"2824"
"69";"4";"4";"26155"
"70";"1";"1";"1994"
"70";"1";"4";"10377"
"70";"4";"1";"2945"
"70";"4";"4";"26909"
"71";"1";"1";"2096"
"71";"1";"4";"10862"
"71";"4";"1";"3031"
"71";"4";"4";"27432"
"72";"1";"1";"2163"
"72";"1";"4";"11134"
"72";"4";"1";"3103"
"72";"4";"4";"27646"
