"id";"score";"profile_1";"profile_2"
"28148";"1";"4";"4"
"28165";"0";"4";"4"
"28148";"0";"4";"4"
"28165";"1";"4";"4"
"28196";"1";"4";"4"
"28148";"1";"4";"4"
"28196";"0";"4";"4"
"28150";"0";"4";"4"
"28150";"2";"4";"4"
"28151";"0";"4";"4"
"28244";"18";"4";"4"
"28349";"4";"4";"4"
"28382";"0";"4";"4"
"28194";"0";"4";"4"
"28366";"1";"1";"1"
"28382";"0";"4";"4"
"28090";"6";"4";"4"
"28194";"0";"4";"4"
"28194";"0";"4";"4"
"28188";"0";"4";"4"
"28279";"1";"4";"4"
"28165";"0";"4";"4"
"28111";"0";"4";"4"
"28322";"2";"1";"1"
"28194";"0";"4";"4"
"28151";"0";"4";"4"
"28151";"0";"4";"4"
"28194";"0";"4";"4"
"28090";"1";"4";"4"
"28188";"4";"4";"4"
"28108";"0";"4";"4"
"28108";"0";"4";"4"
"28255";"0";"4";"4"
"28382";"0";"4";"4"
"28292";"1";"4";"4"
"28111";"0";"4";"4"
"28111";"0";"4";"4"
"28292";"1";"4";"4"
"28111";"1";"4";"4"
"28311";"1";"4";"4"
"28311";"0";"4";"4"
"28111";"0";"4";"4"
"28391";"0";"4";"4"
"28090";"1";"4";"4"
"28371";"0";"4";"4"
"28391";"0";"4";"4"
"28162";"0";"4";"4"
"28194";"1";"4";"4"
"28141";"2";"4";"4"
"28391";"0";"4";"4"
"28371";"0";"4";"4"
"28154";"3";"4";"4"
"28148";"0";"4";"4"
"28139";"4";"4";"4"
"28111";"0";"4";"4"
"28151";"1";"4";"4"
"28188";"24";"4";"4"
"28188";"12";"4";"4"
"28304";"1";"4";"4"
"28391";"0";"4";"4"
"28244";"0";"4";"4"
"28111";"0";"4";"4"
"28148";"0";"4";"4"
"28150";"15";"4";"4"
"28194";"1";"4";"4"
"28375";"5";"4";"4"
"28149";"3";"4";"4"
"28139";"0";"4";"4"
"28131";"1";"4";"4"
"28194";"0";"4";"4"
"28371";"1";"4";"4"
"28162";"5";"4";"4"
"28162";"1";"4";"4"
"28151";"0";"4";"4"
"28162";"4";"4";"4"
"28162";"0";"4";"4"
"28177";"0";"4";"4"
"28299";"3";"4";"4"
"28154";"0";"4";"4"
"28151";"4";"4";"4"
"28111";"0";"4";"4"
"28205";"0";"4";"4"
