"id";"score";"profile_1";"profile_2"
"54842";"0";"1";"1"
"50181";"7";"4";"4"
"50357";"6";"4";"4"
"51655";"2";"4";"4"
"54842";"0";"1";"1"
"55070";"6";"4";"4"
"55003";"1";"4";"4"
"54540";"5";"4";"4"
"53980";"1";"4";"4"
"53464";"1";"4";"4"
"52914";"7";"4";"4"
"54029";"3";"4";"4"
"50387";"1";"4";"4"
"54750";"15";"4";"4"
"54750";"2";"4";"4"
"52914";"3";"4";"4"
"54269";"8";"4";"4"
"52914";"13";"4";"4"
"53584";"3";"4";"4"
"53584";"4";"4";"4"
"52914";"3";"4";"4"
"54928";"2";"4";"4"
"52914";"5";"4";"4"
"54928";"5";"4";"4"
"53980";"2";"4";"4"
"55056";"9";"1";"1"
"55075";"4";"4";"4"
"50357";"6";"4";"4"
"54898";"8";"4";"4"
"53529";"10";"4";"4"
"55077";"0";"1";"1"
"52914";"2";"4";"4"
"55080";"0";"1";"1"
"53948";"7";"4";"4"
"53948";"2";"4";"4"
"52398";"3";"4";"4"
"55019";"3";"1";"1"
"50621";"5";"4";"4"
"50357";"4";"4";"4"
"55003";"2";"4";"4"
"53189";"16";"4";"4"
"50357";"26";"4";"4"
"55086";"7";"1";"1"
"50621";"2";"4";"4"
"53714";"2";"4";"4"
"50357";"11";"4";"4"
"55056";"0";"1";"1"
"52978";"4";"4";"4"
"53529";"8";"4";"4"
"55059";"6";"4";"4"
"55059";"0";"4";"4"
"50562";"4";"4";"4"
"55082";"-1";"4";"4"
"50562";"12";"4";"4"
"54490";"1";"4";"4"
"54808";"1";"4";"4"
"54738";"2";"4";"4"
"52978";"3";"4";"4"
"55093";"0";"1";"1"
"55095";"0";"1";"1"
"53948";"1";"4";"4"
"53948";"0";"4";"4"
"54453";"6";"4";"4"
"55098";"-1";"4";"4"
"50357";"5";"4";"4"
"52914";"2";"4";"4"
"53948";"0";"4";"4"
"53948";"1";"4";"4"
"51502";"8";"4";"4"
"55099";"4";"1";"1"
"55076";"1";"4";"4"
"52303";"2";"4";"4"
"55102";"0";"1";"1"
"52303";"2";"4";"4"
"53529";"4";"4";"4"
"54453";"12";"4";"4"
"50357";"2";"4";"4"
"55076";"5";"4";"4"
"54453";"8";"4";"4"
"50360";"3";"4";"4"
"52914";"10";"4";"4"
"53714";"6";"4";"4"
"54531";"2";"4";"4"
"52914";"6";"4";"4"
"54316";"1";"4";"4"
"55107";"4";"4";"4"
"54157";"2";"1";"1"
"54552";"2";"4";"4"
"53529";"10";"4";"4"
"53529";"1";"4";"4"
"55108";"2";"1";"1"
"53584";"1";"4";"4"
"51655";"3";"4";"4"
"50196";"3";"4";"4"
"50469";"2";"4";"4"
"50179";"0";"1";"1"
"53584";"0";"4";"4"
"51655";"4";"4";"4"
"53584";"16";"4";"4"
"54815";"12";"4";"4"
"53459";"10";"4";"4"
"53584";"2";"4";"4"
"53459";"5";"4";"4"
"52914";"13";"4";"4"
"53459";"9";"4";"4"
"53529";"16";"4";"4"
"55111";"3";"4";"4"
