"period";"graph_context_id";"user_id";"reputation";"id_community";"profile";"id";"betweenness";"closeness";"eccentricity";"harmonic_closeness";"page_rank";"indegree";"outdegree";"degree";"eigenvector";"modularity_class";"clustering_coefficient";"strongly_component";"weakly_component";"interactions";"id_graph_analysis_context";"id_user";"id_community"
"63";"134";"53653";"3800";"10";"4";"487706";"571320,5400316201";"0,3448748938394199";"7";"0,3689889860092389";"0,0035795018828543657";"307";"49";"356";"0,46098561376579156";"17";"0,045777708292007446";"1043";"0";"558";"134";"53653";"10"
"63";"134";"57446";"3756";"10";"4";"490951";"760152,3840676217";"0,3351533235985017";"7";"0,3609936946932464";"0,0029607133086752804";"282";"76";"358";"0,2796955707789445";"7";"0,02941724844276905";"1043";"0";"901";"134";"57446";"10"
"63";"134";"53888";"3730";"10";"4";"487914";"435064,27416730876";"0,3597029163259744";"7";"0,388588657664224";"0,0011410821854763767";"129";"83";"212";"0,11990855899361462";"18";"0,06709223985671997";"1043";"0";"450";"134";"53888";"10"
"63";"134";"51826";"3658";"10";"4";"486207";"341545,1224803854";"0,3609079100293977";"7";"0,3892755662598276";"0,0014185360925759905";"134";"73";"207";"0,20854611527474243";"18";"0,09083548933267593";"1043";"0";"539";"134";"51826";"10"
"63";"134";"55114";"3648";"10";"4";"488971";"357314,428723543";"0,3393982255368394";"7";"0,3635131112494097";"0,0014473362450895784";"164";"42";"206";"0,17978654468870225";"18";"0,04364838823676109";"1043";"0";"321";"134";"55114";"10"
"63";"134";"50188";"3595";"10";"4";"484586";"264666,9140834603";"0,34395360959082616";"7";"0,36858802623150183";"0,0016041803643690874";"149";"45";"194";"0,2404296752281649";"16";"0,08465608209371567";"1043";"0";"512";"134";"50188";"10"
"63";"134";"54269";"3594";"10";"4";"488247";"387534,0036284134";"0,3766678558687121";"7";"0,4076326685248738";"0,0008410392046496963";"62";"104";"166";"0,1738474301665494";"18";"0,1434006243944168";"1043";"0";"660";"134";"54269";"10"
"63";"134";"52236";"3559";"10";"4";"486547";"407241,9928359323";"0,33122098130254735";"7";"0,35269802181147486";"0,0019844766662718625";"187";"43";"230";"0,2787125085590828";"16";"0,05451739579439163";"1043";"0";"410";"134";"52236";"10"
"63";"134";"63571";"3463";"10";"4";"495229";"160679,14816187942";"0,3430818223175408";"6";"0,36740860011364423";"0,0011073592429623328";"72";"46";"118";"0,21967325736270876";"7";"0,16461916267871857";"1043";"0";"297";"134";"63571";"10"
"63";"134";"51446";"3456";"10";"4";"485860";"319853,5646807315";"0,35408142732577635";"7";"0,38127035242964413";"0,0008931778586093704";"97";"68";"165";"0,11289867421150075";"16";"0,08144469559192657";"1043";"0";"303";"134";"51446";"10"
"63";"134";"66934";"3429";"10";"4";"484935";"570022,3465915493";"0,3632672722268098";"6";"0,391115741617717";"0,002026423312807055";"229";"64";"293";"0,25463268021787067";"7";"0,04977158457040787";"1043";"0";"803";"134";"66934";"10"
"63";"134";"56344";"3420";"10";"4";"490005";"344545,93341293716";"0,3261057573511243";"7";"0,34732452935709884";"0,0015527077457792744";"115";"38";"153";"0,20800925461061787";"2";"0,06121647357940674";"1043";"0";"206";"134";"56344";"10"
"63";"134";"50365";"3344";"10";"4";"484760";"291493,6106945273";"0,3295873134794281";"7";"0,35116364029982655";"0,0013899763526982376";"119";"35";"154";"0,12420720124439986";"36";"0,04742440581321716";"1043";"0";"309";"134";"50365";"10"
"63";"134";"59230";"3129";"10";"4";"492352";"322645,64185971854";"0,36014463091826987";"7";"0,38862970079108194";"0,0008954200340310404";"74";"80";"154";"0,1564395997197662";"7";"0,12593717873096466";"1043";"0";"504";"134";"59230";"10"
