"id_user_source";"id_user_dest";"user_source_profile_1";"user_dest_profile_1";"user_source_profile_2";"user_dest_profile_2"
"3653";"3862";"4";"1";"4";"1"
"3653";"3861";"4";"1";"4";"1"
"3516";"4267";"4";"4";"4";"4"
"2689";"7303";"4";"4";"4";"4"
"14021";"9242";"1";"4";"1";"4"
"12440";"13889";"1";"4";"4";"4"
"11031";"10966";"4";"4";"4";"4"
"15151";"5943";"1";"4";"4";"4"
"12059";"12059";"4";"4";"4";"4"
"1497";"5142";"4";"4";"4";"4"
"3965";"1187";"4";"4";"4";"4"
"4328";"6745";"4";"1";"4";"1"
"2599";"2599";"4";"4";"4";"4"
"2175";"1187";"4";"4";"4";"4"
"3206";"7023";"4";"4";"4";"4"
"1725";"6681";"4";"4";"4";"4"
"2308";"1835";"4";"4";"4";"4"
"10164";"9351";"4";"4";"4";"4"
"9385";"2076";"1";"4";"1";"4"
"3438";"4405";"4";"4";"4";"4"
"4630";"7207";"4";"4";"4";"4"
"7352";"7224";"1";"4";"1";"4"
"19261";"17179";"4";"4";"4";"4"
"5416";"2076";"4";"4";"4";"4"
"8181";"8327";"4";"1";"4";"1"
"3516";"6877";"4";"4";"4";"4"
"3995";"3379";"1";"1";"1";"4"
"6601";"8751";"4";"4";"4";"4"
"7893";"3477";"4";"4";"4";"4"
"5617";"1437";"1";"4";"4";"4"
"7097";"7336";"1";"4";"4";"4"
"9372";"1187";"1";"4";"1";"4"
"460";"500";"4";"4";"4";"4"
"3146";"4155";"4";"4";"4";"4"
"3961";"4206";"4";"4";"4";"4"
"2599";"2576";"4";"4";"4";"4"
"12281";"10641";"4";"4";"4";"4"
"3747";"5896";"4";"4";"4";"4"
"6601";"6101";"4";"4";"4";"4"
"6548";"1437";"1";"4";"4";"4"
"3349";"6";"1";"4";"4";"4"
"7942";"8087";"4";"4";"4";"4"
"9499";"8898";"1";"4";"1";"4"
"1848";"1200";"4";"4";"4";"4"
"3375";"20246";"4";"4";"4";"4"
