"period";"profile";"avgDegree";"avgIndegree";"avgOutdegree";"avgBetweenness";"avgPagerank";"avgEigenvector";"avgInteractions"
"42";"2";"2,9621";"0,6950";"2,2671";"69,82228235558067";"0,00007756878100697998";"0,0031054668428164016";"3,8634"
"42";"3";"3,3537";"1,2098";"2,1439";"248,91191262924616";"0,00009963759991020385";"0,005860598996808517";"4,2927"
"42";"4";"14,9357";"7,9482";"6,9874";"7340,120808052163";"0,00031791464252329746";"0,027449190739753167";"28,6951"
"43";"1";"2,1563";"0,8750";"1,2813";"6,4560554085273205";"0,00007399223752785198";"0,003247268673865714";"2,3229"
"43";"2";"2,9943";"0,6999";"2,2945";"73,71235568690642";"0,00007361678351706353";"0,003087975867716885";"3,8962"
"43";"3";"3,3991";"1,2179";"2,1812";"257,80218366298976";"0,00009498787156697262";"0,0058739488891079075";"4,3681"
"43";"4";"15,1584";"8,0838";"7,0747";"7715,0867449438665";"0,0003060969199035469";"0,027738791384551324";"29,3557"
"44";"1";"2,1068";"0,8738";"1,2330";"7,042199353149354";"0,00006949056808982471";"0,002902299775175736";"2,2621"
"44";"2";"3,0360";"0,6956";"2,3405";"83,06180947678864";"0,00006921790203610844";"0,002878276935647462";"3,9346"
"44";"3";"3,5000";"1,2141";"2,2859";"273,9924275301254";"0,00009000716195457235";"0,005570223153598673";"4,5385"
"44";"4";"15,2745";"8,1877";"7,0868";"8141,5695590957275";"0,0002922252027353302";"0,02665628524236099";"29,6057"
"45";"1";"2,1182";"0,8545";"1,2636";"7,618528060918381";"0,00006653624280362981";"0,0026852518118119406";"2,2727"
"45";"2";"3,0713";"0,6971";"2,3742";"78,1959621250534";"0,00006588965671863084";"0,0026249615437471613";"4,0013"
"45";"3";"3,5535";"1,2212";"2,3323";"284,0743859848879";"0,0000865870597464324";"0,005368993375318758";"4,6379"
"45";"4";"15,4986";"8,3296";"7,1690";"8568,967554142224";"0,0002831173692350038";"0,025151567161653544";"30,1897"
"46";"1";"2,1140";"0,8509";"1,2632";"38,11301784027262";"0,00006344694801737797";"0,0025219126633404323";"2,2632"
"46";"2";"3,1056";"0,6975";"2,4082";"89,49794670581535";"0,0000628859707240848";"0,002538279412994499";"4,0492"
"46";"3";"3,6486";"1,2270";"2,4215";"308,686823409912";"0,00008251174269878425";"0,005171546687969786";"4,7887"
"46";"4";"15,7451";"8,4829";"7,2622";"8930,797257280852";"0,00027443898172600057";"0,024664710154950933";"30,6718"
"47";"1";"2,0992";"0,8430";"1,2562";"37,812294051487584";"0,000060617445793211644";"0,002357071005864062";"2,2397"
"47";"2";"3,1121";"0,6957";"2,4165";"93,68493717136411";"0,00006069868186559078";"0,0024046084378858356";"4,0458"
"47";"3";"3,7050";"1,2407";"2,4643";"340,7102589763171";"0,00007951990595448753";"0,004966043244167041";"4,9115"
"47";"4";"15,8895";"8,5722";"7,3173";"9368,585768956214";"0,0002668785724672472";"0,02376508113741714";"31,0583"
"48";"1";"2,0620";"0,8527";"1,2093";"36,640285832137245";"0,00005812703433654498";"0,002207499794653377";"2,1938"
"48";"2";"3,1287";"0,6920";"2,4367";"95,87098255299419";"0,000058339494487961874";"0,0022045773349991895";"4,0550"
"48";"3";"3,7361";"1,2522";"2,4838";"346,46634582578116";"0,00007687277911749928";"0,004707607371516229";"4,9811"
"48";"4";"16,1984";"8,7441";"7,4543";"9758,272293146014";"0,00025962111770837107";"0,022297287925508887";"31,7999"
"49";"1";"2,0809";"0,8824";"1,1985";"36,1784973723539";"0,0000561250741236728";"0,0021682165277625127";"2,2279"
"49";"2";"3,1582";"0,6868";"2,4714";"101,44214218545551";"0,00005589144507350969";"0,0020796771638138625";"4,1249"
"49";"3";"3,7585";"1,2526";"2,5060";"345,97122988861616";"0,00007427832015627233";"0,0046526653400285395";"5,0604"
"49";"4";"16,3973";"8,8745";"7,5228";"10224,697891831063";"0,00025182505590609443";"0,02172811076933519";"32,3128"
"50";"1";"2,0643";"0,8857";"1,1786";"36,24843255858518";"0,00005518809110600827";"0,0021030133033696336";"2,2071"
"50";"2";"3,1604";"0,6902";"2,4701";"99,90129866055284";"0,0000543438863360276";"0,002021293582496204";"4,1285"
"50";"3";"3,7272";"1,2531";"2,4741";"355,8736362631782";"0,00007238483172312645";"0,004577805974165831";"5,0288"
"50";"4";"16,4714";"8,9090";"7,5624";"10594,165827002977";"0,00024431560349793765";"0,021169292996001444";"32,4738"
"51";"1";"2,0641";"0,8910";"1,1731";"81,53845106451331";"0,00005332199327571308";"0,001983063050060194";"2,2692"
"51";"2";"3,1673";"0,6911";"2,4762";"103,29209138996488";"0,00005256847441589408";"0,0019213923640779276";"4,1369"
"51";"3";"3,7466";"1,2589";"2,4877";"382,45350990567886";"0,00007008819508898491";"0,00444407042186655";"5,0802"
"51";"4";"16,5731";"8,9735";"7,5996";"11047,199505948684";"0,00023737424137768888";"0,020316325389151572";"32,6543"
"52";"1";"2,0694";"0,8960";"1,1734";"76,68915835933824";"0,00005238162312139154";"0,002098644803485228";"2,2948"
"52";"2";"3,1372";"0,6823";"2,4549";"107,65623533578393";"0,00005090981517155144";"0,0018508126047811573";"4,0885"
"52";"3";"3,7517";"1,2589";"2,4928";"388,20521589397174";"0,00006805587782449423";"0,004453324960560026";"5,0739"
"52";"4";"16,6614";"9,0410";"7,6204";"11609,100534522291";"0,00023074242758808206";"0,019906451321537077";"32,8108"
"53";"1";"2,0541";"0,8973";"1,1568";"100,72517751009106";"0,00005015807475367298";"0,002026357095766132";"2,2649"
"53";"2";"3,1346";"0,6788";"2,4558";"120,37561462887791";"0,000048925236952038045";"0,001806480202133777";"4,0826"
"53";"3";"3,8072";"1,2789";"2,5283";"437,8098245521714";"0,00006599514555343444";"0,004418377895380767";"5,1795"
"53";"4";"16,7124";"9,0861";"7,6262";"12339,791543550065";"0,00022233981210814739";"0,019369352309148106";"32,8599"
"54";"1";"2,0363";"0,8964";"1,1399";"99,43718064301866";"0,000048533939340168946";"0,001936898519043405";"2,2383"
"54";"2";"3,1343";"0,6795";"2,4548";"136,21820934630475";"0,00004755884226129711";"0,0017588085060891503";"4,0738"
"54";"3";"3,8179";"1,2810";"2,5369";"449,6823791680447";"0,00006420839853620972";"0,00437566333373493";"5,1857"
"54";"4";"16,7728";"9,1301";"7,6427";"12734,58150410355";"0,00021708702853324104";"0,019022815127810924";"32,9571"
"55";"1";"2,0194";"0,8932";"1,1262";"97,31558694161383";"0,00004734052278119975";"0,0018991582995748061";"2,2184"
"55";"2";"3,1327";"0,6732";"2,4594";"142,2486826684968";"0,00004618529519489433";"0,0017765232331390477";"4,0751"
"55";"3";"3,8355";"1,2871";"2,5484";"490,79240148059824";"0,00006256334008702636";"0,004299692590633097";"5,2314"
"55";"4";"16,9036";"9,2097";"7,6939";"13166,447439037998";"0,00021245213796516215";"0,018697805427562962";"33,3140"
"56";"1";"2,0507";"0,8940";"1,1567";"96,2565620035961";"0,000046151338868570234";"0,0018385610283654492";"2,2488"
"56";"2";"3,1310";"0,6754";"2,4556";"137,42818923586694";"0,000044710852490065976";"0,00174187451177123";"4,0830"
"56";"3";"3,8268";"1,2856";"2,5411";"491,2265634189998";"0,00006083353063420158";"0,004254343340227766";"5,2107"
"56";"4";"16,9863";"9,2629";"7,7234";"13662,48797248636";"0,00020687198442406217";"0,018250553624315873";"33,4538"
"57";"1";"2,0705";"0,8943";"1,1762";"74,5495504692316";"0,000044773305770963474";"0,0018098434897952048";"2,2687"
"57";"2";"3,1286";"0,6709";"2,4577";"135,28663725260168";"0,000043251001566336636";"0,0016510157188145132";"4,0671"
"57";"3";"3,8444";"1,2907";"2,5537";"537,9065824719639";"0,0000589802776035941";"0,004132493307278379";"5,2521"
"57";"4";"17,1154";"9,3477";"7,7677";"14281,53423101002";"0,0002023891876767832";"0,017774097960618667";"33,6506"
"58";"1";"2,0502";"0,8787";"1,1715";"72,38340190969826";"0,000043374208911845914";"0,0017078425321946744";"2,2510"
"58";"2";"3,1188";"0,6694";"2,4494";"137,50240755801613";"0,00004205279548669976";"0,001616868433911526";"4,0594"
"58";"3";"3,8641";"1,3030";"2,5611";"546,0988340351497";"0,00005758224375520158";"0,004062214825942742";"5,2731"
"58";"4";"17,2505";"9,4252";"7,8253";"14778,423246157825";"0,00019781541651202108";"0,01758986527104403";"33,9201"
"59";"1";"2,0913";"0,8770";"1,2143";"87,1604913757874";"0,00004242237318918747";"0,0016150862215990448";"2,3175"
"59";"2";"3,1220";"0,6693";"2,4527";"152,88899630146415";"0,000041119552585139705";"0,0016146635476535442";"4,0809"
"59";"3";"3,9024";"1,3153";"2,5870";"567,6564473066378";"0,00005645882939184409";"0,004008658287886077";"5,3299"
"59";"4";"17,3770";"9,5092";"7,8678";"15274,091233133404";"0,00019430865746497726";"0,017202218265095506";"34,1412"
"60";"1";"2,1328";"0,8708";"1,2620";"78,67482159503594";"0,00004088599867662429";"0,001571596551108644";"2,4096"
"60";"2";"3,1432";"0,6740";"2,4692";"170,81085704125542";"0,00003997956512740378";"0,0015842170643189778";"4,0967"
"60";"3";"3,9284";"1,3256";"2,6029";"594,234431925357";"0,00005507046401548417";"0,003930576019851516";"5,3936"
"60";"4";"17,4275";"9,5489";"7,8786";"15775,154758455765";"0,0001898931971563007";"0,01683439190016276";"34,2656"
"61";"1";"2,1399";"0,8566";"1,2832";"74,67893337749108";"0,00003962777985864745";"0,0015216755797537256";"2,4371"
"61";"2";"3,1423";"0,6768";"2,4655";"179,13873404351054";"0,000039111608234002706";"0,00157828374722715";"4,0950"
"61";"3";"3,9843";"1,3426";"2,6417";"638,611690879282";"0,00005391477453302351";"0,0038524101475731136";"5,4927"
"61";"4";"17,4783";"9,5942";"7,8841";"16263,088933910682";"0,00018613742345774232";"0,016432814329035508";"34,2911"
"62";"1";"2,1531";"0,8707";"1,2823";"108,53632254781314";"0,000039189179632716945";"0,001511131718752931";"2,4660"
"62";"2";"3,1675";"0,6853";"2,4823";"185,208778036724";"0,00003830996463783104";"0,0015826521442737346";"4,1408"
"62";"3";"4,0164";"1,3550";"2,6614";"669,9346973261939";"0,00005263659961511072";"0,0038465334770781154";"5,5609"
"62";"4";"17,6471";"9,6994";"7,9477";"16812,26827776279";"0,00018234965429577568";"0,01635007039709591";"34,6059"
"63";"1";"2,1694";"0,8795";"1,2899";"109,97063159822235";"0,000038435220850326634";"0,0015436662913511758";"2,4886"
"63";"2";"3,1818";"0,6863";"2,4955";"188,38031652839604";"0,00003754530933763436";"0,0015661224494405053";"4,1785"
"63";"3";"4,0402";"1,3652";"2,6749";"697,5363618155892";"0,00005158655000118264";"0,0037659578324867418";"5,5996"
"63";"4";"17,7842";"9,7870";"7,9972";"17371,281132499997";"0,00017919246573442992";"0,016147132388125904";"34,8932"
