"id";"profile_1";"profile_2";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"30161";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30162";"1";"1";"1";\N;"0,0000";\N;\N;"0";\N
"30168";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30171";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30175";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30183";"1";"1";"1";"0,0000";\N;\N;"0";\N;\N
"30185";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30187";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30189";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30191";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30196";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30199";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30205";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30210";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30212";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30214";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30215";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30220";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30226";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30229";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30237";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30249";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30250";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30257";"1";"1";"1";\N;"0,0000";\N;\N;"0";\N
"30260";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30261";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30262";"1";"1";"1";"0,0000";\N;\N;"0";\N;\N
"30263";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30271";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30273";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30275";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30277";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30278";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30281";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30288";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30289";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30298";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30304";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30307";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30312";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30322";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30335";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30339";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30340";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30366";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30368";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30371";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30373";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30374";"1";"1";"1";\N;"0,0000";\N;\N;"0";\N
"30387";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30391";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30394";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30397";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30405";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30406";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30407";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30410";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30415";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30416";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30419";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30420";"1";"1";"1";\N;\N;\N;\N;\N;\N
"30422";"1";"1";"1";\N;\N;\N;\N;\N;\N
