"id";"profile";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"62834";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"62928";"2";"4";"0,0000";\N;"0,3333";"0";\N;"1"
"62945";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"63077";"2";"4";"0,0000";\N;\N;"0";\N;\N
"63096";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"63103";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"63182";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"63251";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"63393";"2";"4";"-3,0000";\N;\N;"-3";\N;\N
"63645";"2";"4";"0,0000";\N;\N;"0";\N;\N
"63723";"2";"4";"0,0000";\N;\N;"0";\N;\N
"63960";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64049";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64230";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64376";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64424";"2";"4";"-6,0000";\N;"0,0000";"-6";\N;"0"
"64468";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64569";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64579";"2";"4";"-1,0000";\N;"0,0000";"-1";\N;"0"
"64715";"2";"4";"0,0000";"0,0000";"0,0000";"0";"0";"0"
"64740";"2";"4";"0,0000";\N;\N;"0";\N;\N
"64774";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"64881";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"65017";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"65093";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"65102";"2";"4";"0,0000";\N;\N;"0";\N;\N
"65511";"2";"4";"0,0000";\N;\N;"0";\N;\N
"65529";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
"65726";"2";"4";"0,0000";\N;\N;"0";\N;\N
"65875";"2";"4";"0,0000";\N;\N;"0";\N;\N
"65925";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"65933";"2";"4";"0,0000";\N;\N;"0";\N;\N
"66045";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"66212";"2";"4";"-2,0000";\N;\N;"-2";\N;\N
"66518";"2";"4";"0,0000";\N;"0,0000";"0";\N;"0"
"66715";"2";"4";"-2,0000";\N;"0,0000";"-2";\N;"0"
"66759";"2";"4";"0,0000";\N;\N;"0";\N;\N
"66843";"2";"4";"0,0000";\N;\N;"0";\N;\N
"67006";"2";"4";"-1,0000";\N;\N;"-1";\N;\N
