"id";"profile";"reputation";"avgScoreQuestion";"avgScoreAnswers";"avgScoreComments";"sumScoreQuestion";"sumScoreAnswers";"sumScoreComments"
"33859";"2";"6";"1,0000";\N;\N;"1";\N;\N
"33948";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34102";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34115";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"34121";"2";"6";"1,0000";"0,0000";\N;"1";"0";\N
"34200";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34222";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34243";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34257";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34303";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34399";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34526";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34568";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34600";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34629";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34692";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34816";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34823";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34854";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34858";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34892";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"34896";"2";"6";"1,0000";\N;\N;"1";\N;\N
"34922";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35008";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35015";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35022";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35064";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35100";"2";"6";"0,0000";\N;"0,0000";"0";\N;"0"
"35113";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"35121";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35125";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"35341";"2";"6";"0,5000";\N;"0,0000";"1";\N;"0"
"35342";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"35355";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"35412";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35428";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"35474";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35501";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35790";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35816";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35851";"2";"6";"1,0000";\N;\N;"1";\N;\N
"35971";"2";"6";"1,0000";\N;"1,0000";"1";\N;"1"
"35983";"2";"6";"0,0000";\N;\N;"0";\N;\N
"35984";"2";"6";"0,0000";\N;\N;"0";\N;\N
"36009";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36030";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36084";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36086";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36131";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36172";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36218";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36229";"2";"6";"1,0000";"0,0000";\N;"1";"0";\N
"36291";"2";"6";"1,0000";\N;"0,5000";"1";\N;"1"
"36321";"2";"6";"1,0000";\N;"1,0000";"1";\N;"1"
"36390";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36398";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36411";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36534";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36720";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36751";"2";"6";"1,0000";\N;\N;"1";\N;\N
"36762";"2";"6";"1,0000";\N;"0,0000";"1";\N;"0"
"36920";"2";"6";"1,0000";\N;\N;"1";\N;\N
"37008";"2";"6";"1,0000";\N;"1,0000";"1";\N;"1"
"37079";"2";"6";"1,0000";\N;\N;"1";\N;\N
"37172";"2";"6";"1,0000";\N;\N;"1";\N;\N
"37217";"2";"6";"1,0000";\N;"1,0000";"1";\N;"1"
